IID	Change.in.BW	Change.in.2D.SA	Change.in.Fv.Fm	Change.in.NPQmax	Change.in.ETRmax
a550962-4418532-051222-706_O03	0.001413585	0.004497653	-0.151	0.121	-8.7
a550962-4418532-051222-706_O05	0.000792638	-0.00586385	-0.153	0.099	-11
a550962-4418532-051222-706_O07	0.001752237	0.003309859	-0.154	0.108	-9.7
a550962-4418532-051222-706_O09	0.001393669	0.0059	-0.202	0.158	-16.7
a550962-4418532-051222-706_O11	0.001615313	0.011816901	-0.169	0.073	-5.9
a550962-4418532-051222-706_O17	0.002100816	0.016557078	-0.077	0.003	-7.1
a550962-4418532-051222-706_O19	0.001032905	0.011840183	-0.072	0.03	-11
a550962-4420485-051222-874_A01	0.001139851	0.03373516	-0.059	0.046	-6.8
a550962-4420485-051222-874_A03	0.002420224	0.005366667	-0.11	0.148	-12.1
a550962-4420485-051222-874_A07	0	0.004457143	-0.196	0.085	-13.7
a550962-4420485-051222-874_A09	0.001359997	0.007441315	-0.206	0.011	-17.4
a550962-4420485-051222-874_A13	0.002013624	0.016557143	0	0	0
a550962-4420485-051222-874_A15	0.001554728	0.008088235	-0.109	0.133	-6.4
a550962-4420485-051222-874_A17	0.001780892	0.01022381	-0.122	0.034	-13.7
a550962-4420485-051222-874_A19	0.001439423	-0.020282407	-0.139	0.123	-9.5
a550962-4420485-051222-874_A21	0.001260865	0.002152381	-0.15	0.021	-12.7
a550962-4420485-051222-874_A23	0.001835324	0.003800926	-0.153	0.027	-12
a550962-4420485-051222-874_C01	0.001387742	0.006931507	-0.103	0.074	-14.5
a550962-4420485-051222-874_C03	0.001846467	0.008457143	-0.203	0.117	-19.2
a550962-4420485-051222-874_C05	0.002694892	0.002589041	-0.173	0.022	-12.7
a550962-4420485-051222-874_C09	0.00197294	0.010732394	-0.249	0.069	-27.3
a550962-4420485-051222-874_C11	0.001619837	0.008561644	-0.212	0.015	-8.9
a550962-4420485-051222-874_C15	0.002307292	0.008607843	-0.239	0.129	-17.6
a550962-4420485-051222-874_C17	0.001633217	0.008041667	-0.168	0.097	-12
a550962-4420485-051222-874_C21	0	0	0	0	0
a550962-4420485-051222-874_C23	0.001772046	0.003648148	-0.215	0.045	-11.8
a550962-4420485-051222-874_E01	0.001476846	0.00090411	-0.113	0.027	-10.1
a550962-4420485-051222-874_E03	0.00154018	0.001547619	-0.253	0.079	-16.1
a550962-4420485-051222-874_E07	0.002509845	-0.009333333	-0.175	0.078	-10.7
a550962-4420485-051222-874_E09	0.001828516	0.016192488	-0.194	0.053	-14.6
a550962-4420485-051222-874_E11	0.002110436	0.015634703	-0.145	0.046	-15.9
a550962-4420485-051222-874_E13	0.002441379	-0.001971429	-0.221	0.108	-8.3
a550962-4420485-051222-874_E17	0.001194839	-6.94E-05	-0.155	0.057	-12.6
a550962-4420485-051222-874_E19	0.00178258	0	-0.113	0.139	-8.2
a550962-4420485-051222-874_E21	0.001349594	0.01162381	-0.125	0.097	-13.2
a550962-4420485-051222-874_G03	0.001429027	0.006319048	-0.124	0.16	-11.7
a550962-4420485-051222-874_G05	0.001362813	-0.003961905	-0.121	0.178	-7.1
a550962-4420485-051222-874_G07	0.001372964	0.01192381	-0.145	0.045	-8.6
a550962-4420485-051222-874_G09	0.001390406	0.008948357	-0.18	0.024	-14.6
a550962-4420485-051222-874_G11	0.001484938	1.37E-05	-0.19	0.03	-10.4
a550962-4420485-051222-874_G15	0.00160714	-0.000504902	0	0	0
a550962-4420485-051222-874_G17	0.002109857	0.023476852	-0.178	0.025	-12.8
a550962-4420485-051222-874_G23	0.001960591	0.020877934	-0.184	0.145	-10
a550962-4420485-051222-874_I03	0.00145706	0.005085714	-0.158	0.073	-11.6
a550962-4420485-051222-874_I05	0.001457423	0.010857143	0	0	0
a550962-4420485-051222-874_I07	0.001563072	-0.005419048	-0.116	0.048	-7.9
a550962-4420485-051222-874_I11	0.002927521	0.014104762	0	0	0
a550962-4420485-051222-874_I13	0.001789485	0.007430556	-0.214	0.028	-11
a550962-4420485-051222-874_I15	0.001273973	0	-0.13	0.092	-11.3
a550962-4420485-051222-874_I17	0.001540831	0.021023148	-0.143	0.118	-14.3
a550962-4420485-051222-874_I19	0.000965631	0.002032407	-0.107	0.075	-11.7
a550962-4420485-051222-874_I21	0	-0.027842857	0	0	0
a550962-4420485-051222-874_I23	0.001890238	0.009295775	-0.133	0.082	-6.9
a550962-4420485-051222-874_K01	0.001698236	0.002765258	-0.25	0.068	-7.8
a550962-4420485-051222-874_K03	0.002088094	0.009464789	-0.189	0.102	-9.2
a550962-4420485-051222-874_K05	0.002133867	-0.001909524	-0.303	0.096	-9
a550962-4420485-051222-874_K07	0.001689739	0.009314286	-0.106	0.06	-9.9
a550962-4420485-051222-874_K09	0.001824717	-0.002985915	-0.168	0.06	-10.6
a550962-4420485-051222-874_K13	0.001946745	0.005666667	-0.272	0.04	-13.2
a550962-4420485-051222-874_K15	0.001223106	0.004397059	0	0	0
a550962-4420485-051222-874_K17	0.000831153	0.000375	-0.276	0.036	-13.7
a550962-4420485-051222-874_K19	0.001070633	0	-0.083	0.083	-12
a550962-4420485-051222-874_K21	0.001758109	0.004898148	-0.17	0.08	-8.9
a550962-4420485-051222-874_K23	0.002103565	-0.000461905	-0.201	0.033	-11.6
a550962-4420485-051222-874_M05	0.003558278	0.01372381	0	0	0
a550962-4420485-051222-874_M09	0.001609916	0.024366197	-0.165	0.094	-14.8
a550962-4420485-051222-874_M13	0.004390697	0.030902778	-0.175	0.056	-12.2
a550962-4420485-051222-874_M15	0.001761528	0.003671569	-0.177	0.093	-11.8
a550962-4420485-051222-874_M19	0.001473151	0.006195238	-0.166	0.059	-14.7
a550962-4420485-051222-874_M21	0.00255124	0.026467593	-0.144	0.102	-3.3
a550962-4420485-051222-874_M23	0.002384685	0.016509259	-0.237	0.103	-15.7
a550962-4420485-051222-874_O01	0.001440352	0.005558685	-0.22	0.059	-13.7
a550962-4420485-051222-874_O05	0	0	0	0	0
a550962-4420485-051222-874_O07	0.001604401	0.00197619	-0.199	0.103	-12.2
a550962-4420485-051222-874_O11	0.001801135	0.018561905	-0.188	0.172	-6.3
a550962-4420485-051222-874_O13	0.002508627	0.013408451	-0.191	0.133	-17.3
a550962-4420485-051222-874_O15	0.001754922	0.012519608	0	0	0
a550962-4420485-051222-874_O17	0.001397275	-0.017439815	-0.132	0.096	-9.1
a550962-4420485-051222-874_O19	0.001604899	0.011309524	-0.083	0.105	-15.5
a550962-4420485-051222-874_O21	0.001206683	0.012925926	-0.189	0.04	-8.5
a550962-4420485-051222-874_O23	-0.00572176	0.008546296	-0.286	0.064	-14
